track_id,track_name,artist_name,album_name,release_date,explicit,duration_ms,popularity,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,album_artwork_url,is_feature,is_album_track
4xR3MAscflQ262kMeiKshQ,Skyline To (feat. Kendrick Lamar),Frank Ocean,Blonde,2016-08-20,True,184600,67,0.43,0.296,0.386,129.048,-13.645,0.0583,0.882,6.21e-06,0.104,https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526,True,False
0zLClc0emc6qUeV1p5nc99,No More Parties In LA (feat. Kendrick Lamar),Kanye West,The Life Of Pablo,2016-06-10,True,374413,70,0.508,0.921,0.681,93.058,-1.644,0.303,0.246,0.0,0.221,https://i.scdn.co/image/ab67616d00001e022a7db835b912dc5014bd37f4,True,False
7LUOpegdxmYkaHjJXdHuZ3,Deep Water (feat. Kendrick Lamar),Dr. Dre,Compton,2015-08-21,True,311360,42,0.705,0.786,0.473,101.995,-5.417,0.355,0.0306,3.27e-05,0.906,https://i.scdn.co/image/ab67616d00001e022fc5548485c214ab53477a96,True,False
5ZEdSY99Mj5U4MIF97EKER,Darkside/Gone (feat. Kendrick Lamar),Dr. Dre,Compton,2015-08-21,True,233906,41,0.667,0.782,0.59,80.487,-4.404,0.31,0.0125,0.0,0.0997,https://i.scdn.co/image/ab67616d00001e022fc5548485c214ab53477a96,True,False
7GW98M7bhqIqLGpxxStZWP,Genocide (feat. Kendrick Lamar),Dr. Dre,Compton,2015-08-21,True,266506,39,0.585,0.758,0.386,86.629,-3.501,0.186,0.000195,0.0,0.088,https://i.scdn.co/image/ab67616d00001e022fc5548485c214ab53477a96,True,False
1HFGtQBnUfFWMtRIuj5uAC,Murda (feat. Kendrick Lamar),King Esko,King Esko,2015-09-01,True,228310,0,0.554,0.961,0.405,99.033,-2.666,0.203,0.274,0.0,0.275,https://i.scdn.co/image/ab67616d00001e02675bd32502dfb1352fe30754,True,False
6mUErYj38jotVlhzgGY6vl,On Me - feat. Kendrick Lamar,The Game,The Documentary 2,2015-10-09,True,285640,0,0.483,0.662,0.664,85.798,-9.18,0.541,0.136,0.0,0.796,https://i.scdn.co/image/ab67616d00001e0248ea20e5a4972e719086cbb0,True,False
1s4Peo4fUtOjDwiNhO2Epo,Thuggin' (feat. Kendrick Lamar),Glasses Malone,GlassHouse 2: Life Ain't Nuthin But...,2015-09-05,True,300066,15,0.568,0.667,0.441,113.364,-8.935,0.363,0.173,0.0,0.244,https://i.scdn.co/image/ab67616d00001e0206cf876722aaf0a4daef46f1,True,False
2HyjslXPfwBapec3F6FppD,"LA (feat. Kendrick Lamar, Brandy & James Fauntleroy)",Ty Dolla $ign,Free TC,2015-11-13,True,307360,0,0.354,0.5,0.321,75.04,-7.159,0.137,0.315,0.0,0.602,https://i.scdn.co/image/ab67616d00001e026935680dc9ec8cd4b7ca42dc,True,False
2iXm6lM5KNUHOGP5OQSeyA,Easy Bake (feat. Kendrick Lamar & SZA),Jay Rock,90059,2015-09-11,True,291812,38,0.566,0.586,0.619,174.262,-6.741,0.827,0.357,0.0,0.425,https://i.scdn.co/image/ab67616d00001e02793a0d50c1af74449ddfba7a,True,False
2SIdGJTWirTxRNEyCp9ocI,Vice City (feat. Black Hippy) (feat. Kendrick Lamar),Jay Rock,90059,2015-09-11,True,283751,50,0.844,0.553,0.511,114.939,-7.284,0.356,0.156,1.32e-06,0.0816,https://i.scdn.co/image/ab67616d00001e02793a0d50c1af74449ddfba7a,True,False
5dnh5AR01W0n8r3gLJAPPP,Heaven Help Dem (feat. Kendrick Lamar),Jonathan Emile,The Lover / Fighter Document LP,2015-10-09,False,301363,33,0.323,0.763,0.185,175.462,-5.715,0.172,0.0775,0.0,0.243,https://i.scdn.co/image/ab67616d00001e026e67f45fc9315a9b505e59fd,True,False
530J9GupahE2O4a1iVkQxB,Classic Man (feat. Kendrick Lamar) - Remix,Jidenna,Classic Man (feat. Kendrick Lamar) [Remix],2015-06-22,True,235046,45,0.851,0.657,0.644,94.036,-5.161,0.0559,0.119,0.0,0.0743,https://i.scdn.co/image/ab67616d00001e0213b24a597a9743cc9761fee8,True,False
4l295fn8GUozWoRPDADuxc,Money Over Love (feat. Kendrick Lamar),Bilal,In Another Life,2015-06-30,False,164786,0,0.424,0.705,0.654,127.315,-5.889,0.185,0.28,2.84e-06,0.141,https://i.scdn.co/image/ab67616d00001e0277f6182218ed1623d7c9129a,True,False
6xsEAm6w9oMQYYg3jkEkMT,Bad Blood (feat. Kendrick Lamar),Taylor Swift,Bad Blood,2015-05-17,False,200106,64,0.654,0.655,0.221,170.16,-7.388,0.106,0.0294,0.0,0.139,https://i.scdn.co/image/ab67616d00001e027941dc6a3a023016acbe3d06,True,False
16utyJfWZGkTWYDobMzND7,I'm Ya Dogg (feat. Kendrick Lamar & Rick Ross),Snoop Dogg,BUSH,2015-05-06,True,278146,33,0.479,0.609,0.513,107.699,-8.678,0.236,0.127,0.0,0.0815,https://i.scdn.co/image/ab67616d00001e0208c3397fbd22e078f2a2212e,True,False
6CTG85NJI1Wm60pxTSRNwL,Never Catch Me (feat. Kendrick Lamar),Flying Lotus,You're Dead!,2014-10-06,False,234486,0,0.526,0.936,0.283,81.305,-4.576,0.263,0.316,0.000384,0.261,https://i.scdn.co/image/ab67616d00001e02dfa6ba57d446244054f068f4,True,False
7EJ1CjaeHobTNQCJOrFmpZ,Autumn Leaves (feat. Kendrick Lamar),Chris Brown,X (Expanded Edition),2014-09-16,True,268800,53,0.624,0.6,0.436,73.059,-7.935,0.289,0.326,0.0,0.138,https://i.scdn.co/image/ab67616d00001e02d7a62d8635f92472d57d5f8d,True,False
2hMN5P2tTFm3hYfa6bJSN3,Fasho (feat. Kendrick Lamar),Freeway,"Month of Madness, Vol. 7",2014-11-18,True,262080,2,0.665,0.638,0.481,89.026,-11.598,0.423,0.073,0.0,0.231,https://i.scdn.co/image/ab67616d00001e02ef6b8c136d07daf8f0e5cb9c,True,False
